review,date,rating,name, address
,May 3| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Average property for this level of hotel. The good part is that they have a microwave oven for public access during this pandemic. Cons was that the staff service was bad to be honest.,May 2| 2021,3,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Room was a good size and staff was friendly. My only criticism is there was no desk to sit at with a computer and outlet.,Apr 26| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Good,Apr 25| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Overall the hotel and view were amazing| only complaint was even with the a/c on| the room stayed fairly warm. We set it to 60 to cool it off and it never got below 70. Otherwise our stay was wonderful.,Apr 24| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Apr 16| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
muy lindo y limpio el lugar las atenciones de primera,Apr 12| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Apr 10| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Not enough tea in room,Apr 10| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Good location| nice and gentle attention.  I will back to this hotel.,Apr 10| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Can't beat the convenience of the property or top the friendliness of the staff. We'll gladly stay here again on a future visit! It was quiet| comfortable| and an easy walk to DC.,Apr 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Everything was amazing from customer service to location to the awesome bed!!!!,Apr 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Apr 1| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 29| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Overall hotel experience was good. Valet was frustrating| the front was full of cars so we pulled into an empty space. Then we were asked to move the car into another empty space. The point of valet is they move the car for you. We also got charged by the valet app as well as the hotel so we got charged twice. However| the hotel was able to correct it relatively quick. The room was relatively clean and hotel was nice.,Mar 29| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 26| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 23| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Perfect stay in every way! Pandemic preparations for guests was exceptional!,Mar 20| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
,Mar 20| 2021,4,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
Very clean comfortable stay. Was there for my NCLEX exam which was literally the next building over so location was very convenient. Staff was very friendly and helpful,Mar 20| 2021,5,Hilton Washington DC Capitol Hill,525 New Jersey Ave Nw| Washington| DC| 20001
